"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"3QO3J","bravo","fall17","111","1","starttime","F",17607,1,0,"1","1","full"
"3QO3J","bravo","fall17","111","2","starts","E",16269,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","3","meets","K",17232,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","4","endtime","B",22597,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","5","midpoint","J",10350,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","6","duration","EG",6458,1,1,"1","1","full"
"3QO3J","bravo","fall17","111","7","duration+starts","FB",27558,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","8","duration+contained","O",15799,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","9","starttime+before+endtime+during","I",13808,1,1,"1","1","full"
"3QO3J","bravo","fall17","111","10","ends","B",9391,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","11","starttime","FB",7053,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","12","starts","B",5403,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","13","meets","LH",14358,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","14","endtime","PLH",30711,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","15","midpoint","KX",11654,1,0,"1","1","full"
"M675E","bravo","fall17","121","1","starttime","",25885,0,0,"1","2","full"
"M675E","bravo","fall17","121","2","starts","K",62392,1,0,"1","2","full"
"M675E","bravo","fall17","121","3","meets","F",32925,1,0,"1","2","full"
"M675E","bravo","fall17","121","4","endtime","H",20972,1,0,"1","2","full"
"M675E","bravo","fall17","121","5","midpoint","A",15895,1,0,"1","2","full"
"M675E","bravo","fall17","121","6","duration","EG",13199,1,1,"1","2","full"
"M675E","bravo","fall17","121","7","duration+starts","XO",45576,1,0,"1","2","full"
"M675E","bravo","fall17","121","8","duration+contained","G",59171,1,0,"1","2","full"
"M675E","bravo","fall17","121","9","starttime+before+endtime+during","",16166,0,0,"1","2","full"
"M675E","bravo","fall17","121","10","ends","E",21647,1,0,"1","2","full"
"M675E","bravo","fall17","121","11","starttime","ML",15520,1,0,"1","2","full"
"M675E","bravo","fall17","121","12","starts","G",24122,1,0,"1","2","full"
"M675E","bravo","fall17","121","13","meets","EF",26296,1,0,"1","2","full"
"M675E","bravo","fall17","121","14","endtime","X",10559,1,0,"1","2","full"
"M675E","bravo","fall17","121","15","midpoint","KX",11685,1,0,"1","2","full"
"R8PM2","charlie","fall17","111","1","starttime","A",17154,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","2","starts","E",11655,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","3","meets","Z",17040,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","4","endtime","U",44879,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","5","midpoint","F",78645,0,0,"1","1","full"
"R8PM2","charlie","fall17","111","6","duration","EG",5894,1,1,"1","1","full"
"R8PM2","charlie","fall17","111","7","duration+starts","FB",23738,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","8","duration+contained","E",32199,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","9","starttime+before+endtime+during","I",28644,1,1,"1","1","full"
"R8PM2","charlie","fall17","111","10","ends","X",25671,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","11","starttime","FB",8462,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","12","starts","B",7112,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","13","meets","FX",19799,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","14","endtime","B",21753,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","15","midpoint","EF",19633,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","1","starttime","A",13167,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","2","starts","D",27797,0,0,"1","1","full"
"JFFAY","bravo","fall17","111","3","meets","Z",61005,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","4","endtime","U",99700,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","5","midpoint","U",186786,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","6","duration","EG",13803,1,1,"1","1","full"
"JFFAY","bravo","fall17","111","7","duration+starts","FB",23171,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","8","duration+contained","E",42757,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","9","starttime+before+endtime+during","I",18984,1,1,"1","1","full"
"JFFAY","bravo","fall17","111","10","ends","X",55556,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","11","starttime","FB",18255,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","12","starts","B",11472,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","13","meets","FX",31878,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","14","endtime","B",51763,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","15","midpoint","EF",110927,0,1,"1","1","full"
"HKSU4","charlie","fall17","121","1","starttime","F",56086,1,0,"1","2","full"
"HKSU4","charlie","fall17","121","2","starts","XE",29754,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","3","meets","",59590,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","4","endtime","K",39838,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","5","midpoint","ZHKU",30787,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","6","duration","EG",8207,1,1,"1","2","full"
"HKSU4","charlie","fall17","121","7","duration+starts","XO",45399,1,0,"1","2","full"
"HKSU4","charlie","fall17","121","8","duration+contained","E",21272,0,1,"1","2","full"
"HKSU4","charlie","fall17","121","9","starttime+before+endtime+during","I",12615,1,1,"1","2","full"
"HKSU4","charlie","fall17","121","10","ends","I",24208,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","11","starttime","M",9298,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","12","starts","B",7580,0,1,"1","2","full"
"HKSU4","charlie","fall17","121","13","meets","FX",44559,0,1,"1","2","full"
"HKSU4","charlie","fall17","121","14","endtime","O",39077,0,0,"1","2","full"
"HKSU4","charlie","fall17","121","15","midpoint","FB",25917,0,0,"1","2","full"
"FUV6R","delta","fall17","121","1","starttime","I",67765,0,0,"1","2","full"
"FUV6R","delta","fall17","121","2","starts","E",58757,0,0,"1","2","full"
"FUV6R","delta","fall17","121","3","meets","F",75035,1,0,"1","2","full"
"FUV6R","delta","fall17","121","4","endtime","H",18480,1,0,"1","2","full"
"FUV6R","delta","fall17","121","5","midpoint","A",29433,1,0,"1","2","full"
"FUV6R","delta","fall17","121","6","duration","EG",19086,1,1,"1","2","full"
"FUV6R","delta","fall17","121","7","duration+starts","FB",37971,0,1,"1","2","full"
"FUV6R","delta","fall17","121","8","duration+contained","E",88236,0,1,"1","2","full"
"FUV6R","delta","fall17","121","9","starttime+before+endtime+during","I",45025,1,1,"1","2","full"
"FUV6R","delta","fall17","121","10","ends","E",7275,1,0,"1","2","full"
"FUV6R","delta","fall17","121","11","starttime","ML",21655,1,0,"1","2","full"
"FUV6R","delta","fall17","121","12","starts","G",8954,1,0,"1","2","full"
"FUV6R","delta","fall17","121","13","meets","EF",19522,1,0,"1","2","full"
"FUV6R","delta","fall17","121","14","endtime","X",7048,1,0,"1","2","full"
"FUV6R","delta","fall17","121","15","midpoint","KX",15205,1,0,"1","2","full"
"4GSTQ","delta","fall17","111","1","starttime","A",35883,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","2","starts","E",13226,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","3","meets","Z",54657,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","4","endtime","FU",52807,0,0,"1","1","full"
"4GSTQ","delta","fall17","111","5","midpoint","U",118586,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","6","duration","EG",14747,1,1,"1","1","full"
"4GSTQ","delta","fall17","111","7","duration+starts","FB",19592,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","8","duration+contained","E",27119,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","9","starttime+before+endtime+during","I",14357,1,1,"1","1","full"
"4GSTQ","delta","fall17","111","10","ends","X",41033,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","11","starttime","FB",27287,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","12","starts","B",6992,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","13","meets","FX",19483,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","14","endtime","B",36788,0,1,"1","1","full"
"4GSTQ","delta","fall17","111","15","midpoint","FB",40501,0,0,"1","1","full"
"EN7PB","echo","fall17","111","1","starttime","A",19132,0,1,"1","1","full"
"EN7PB","echo","fall17","111","2","starts","E",14759,0,1,"1","1","full"
"EN7PB","echo","fall17","111","3","meets","K",12880,0,0,"1","1","full"
"EN7PB","echo","fall17","111","4","endtime","DE",7200,0,0,"1","1","full"
"EN7PB","echo","fall17","111","5","midpoint","",161026,0,0,"1","1","full"
"EN7PB","echo","fall17","111","6","duration","EG",6555,1,1,"1","1","full"
"EN7PB","echo","fall17","111","7","duration+starts","FB",16563,0,1,"1","1","full"
"EN7PB","echo","fall17","111","8","duration+contained","",26562,0,0,"1","1","full"
"EN7PB","echo","fall17","111","9","starttime+before+endtime+during","",27751,0,0,"1","1","full"
"EN7PB","echo","fall17","111","10","ends","X",45148,0,1,"1","1","full"
"EN7PB","echo","fall17","111","11","starttime","FB",8846,0,1,"1","1","full"
"EN7PB","echo","fall17","111","12","starts","B",7471,0,1,"1","1","full"
"EN7PB","echo","fall17","111","13","meets","FX",20795,0,1,"1","1","full"
"EN7PB","echo","fall17","111","14","endtime","B",26339,0,1,"1","1","full"
"EN7PB","echo","fall17","111","15","midpoint","EF",34032,0,1,"1","1","full"
"KBQPW","echo","fall17","121","1","starttime","",36252,0,0,"1","2","full"
"KBQPW","echo","fall17","121","2","starts","CAIOZFHJXKUD",46093,0,0,"1","2","full"
"KBQPW","echo","fall17","121","3","meets","AIOZFHJXKUDEGB",37174,0,0,"1","2","full"
"KBQPW","echo","fall17","121","4","endtime","D",10288,0,0,"1","2","full"
"KBQPW","echo","fall17","121","5","midpoint","A",70301,1,0,"1","2","full"
"KBQPW","echo","fall17","121","6","duration","EG",21663,1,1,"1","2","full"
"KBQPW","echo","fall17","121","7","duration+starts","FB",48108,0,1,"1","2","full"
"KBQPW","echo","fall17","121","8","duration+contained","IJE",54930,0,0,"1","2","full"
"KBQPW","echo","fall17","121","9","starttime+before+endtime+during","I",32734,1,1,"1","2","full"
"KBQPW","echo","fall17","121","10","ends","X",77848,0,1,"1","2","full"
"KBQPW","echo","fall17","121","11","starttime","FB",22412,0,1,"1","2","full"
"KBQPW","echo","fall17","121","12","starts","B",12379,0,1,"1","2","full"
"KBQPW","echo","fall17","121","13","meets","FX",74170,0,1,"1","2","full"
"KBQPW","echo","fall17","121","14","endtime","B",66170,0,1,"1","2","full"
"KBQPW","echo","fall17","121","15","midpoint","EF",62057,0,1,"1","2","full"
"YGEAY","foxtrot","fall17","111","1","starttime","A",28312,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","2","starts","E",42499,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","3","meets","A",80442,0,0,"1","1","full"
"YGEAY","foxtrot","fall17","111","4","endtime","U",91978,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","5","midpoint","U",131081,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","6","duration","EG",13700,1,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","7","duration+starts","FB",20984,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","8","duration+contained","E",55418,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","9","starttime+before+endtime+during","I",56103,1,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","10","ends","X",38938,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","11","starttime","FB",15409,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","12","starts","B",7350,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","13","meets","EF",40081,1,0,"1","1","full"
"YGEAY","foxtrot","fall17","111","14","endtime","B",19682,0,1,"1","1","full"
"YGEAY","foxtrot","fall17","111","15","midpoint","FB",30692,0,0,"1","1","full"
"LJTDL","foxtrot","fall17","121","1","starttime","F",75749,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","2","starts","KD",27549,0,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","3","meets","F",24404,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","4","endtime","H",201261,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","5","midpoint","A",20532,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","6","duration","EG",16292,1,1,"1","2","full"
"LJTDL","foxtrot","fall17","121","7","duration+starts","XO",37563,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","8","duration+contained","G",47062,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","9","starttime+before+endtime+during","",82614,0,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","10","ends","E",14113,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","11","starttime","ML",28257,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","12","starts","G",11732,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","13","meets","EF",21818,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","14","endtime","X",11201,1,0,"1","2","full"
"LJTDL","foxtrot","fall17","121","15","midpoint","KX",15445,1,0,"1","2","full"
"OTVZR","golf","fall17","121","1","starttime","",39298,0,0,"1","2","full"
"OTVZR","golf","fall17","121","2","starts","J",58099,0,0,"1","2","full"
"OTVZR","golf","fall17","121","3","meets","AIF",72749,0,0,"1","2","full"
"OTVZR","golf","fall17","121","4","endtime","H",138017,1,0,"1","2","full"
"OTVZR","golf","fall17","121","5","midpoint","A",24498,1,0,"1","2","full"
"OTVZR","golf","fall17","121","6","duration","EG",8576,1,1,"1","2","full"
"OTVZR","golf","fall17","121","7","duration+starts","FB",44186,0,1,"1","2","full"
"OTVZR","golf","fall17","121","8","duration+contained","G",39309,1,0,"1","2","full"
"OTVZR","golf","fall17","121","9","starttime+before+endtime+during","E",49150,0,0,"1","2","full"
"OTVZR","golf","fall17","121","10","ends","E",19242,1,0,"1","2","full"
"OTVZR","golf","fall17","121","11","starttime","ML",24431,1,0,"1","2","full"
"OTVZR","golf","fall17","121","12","starts","GP",17200,0,0,"1","2","full"
"OTVZR","golf","fall17","121","13","meets","HN",22774,0,0,"1","2","full"
"OTVZR","golf","fall17","121","14","endtime","X",6205,1,0,"1","2","full"
"OTVZR","golf","fall17","121","15","midpoint","CX",57643,0,0,"1","2","full"
"KLYG7","golf","fall17","111","1","starttime","A",36381,0,1,"1","1","full"
"KLYG7","golf","fall17","111","2","starts","EG",126235,0,0,"1","1","full"
"KLYG7","golf","fall17","111","3","meets","OJD",63618,0,0,"1","1","full"
"KLYG7","golf","fall17","111","4","endtime","",30959,0,0,"1","1","full"
"KLYG7","golf","fall17","111","5","midpoint","HJDE",22418,0,0,"1","1","full"
"KLYG7","golf","fall17","111","6","duration","EG",95535,1,1,"1","1","full"
"KLYG7","golf","fall17","111","7","duration+starts","FZ",43064,0,0,"1","1","full"
"KLYG7","golf","fall17","111","8","duration+contained","I",139831,0,0,"1","1","full"
"KLYG7","golf","fall17","111","9","starttime+before+endtime+during","I",15508,1,1,"1","1","full"
"KLYG7","golf","fall17","111","10","ends","Z",7002,0,0,"1","1","full"
"KLYG7","golf","fall17","111","11","starttime","",12673,0,0,"1","1","full"
"KLYG7","golf","fall17","111","12","starts","B",22275,0,1,"1","1","full"
"KLYG7","golf","fall17","111","13","meets","BM",49241,0,0,"1","1","full"
"KLYG7","golf","fall17","111","14","endtime","B",35770,0,1,"1","1","full"
"KLYG7","golf","fall17","111","15","midpoint","FB",23126,0,0,"1","1","full"
"AJZV2","golf","fall17","121","1","starttime","",127435,0,0,"1","2","full"
"AJZV2","golf","fall17","121","2","starts","K",69384,1,0,"1","2","full"
"AJZV2","golf","fall17","121","3","meets","F",38649,1,0,"1","2","full"
"AJZV2","golf","fall17","121","4","endtime","H",17873,1,0,"1","2","full"
"AJZV2","golf","fall17","121","5","midpoint","A",30985,1,0,"1","2","full"
"AJZV2","golf","fall17","121","6","duration","EG",19041,1,1,"1","2","full"
"AJZV2","golf","fall17","121","7","duration+starts","XO",46331,1,0,"1","2","full"
"AJZV2","golf","fall17","121","8","duration+contained","G",97141,1,0,"1","2","full"
"AJZV2","golf","fall17","121","9","starttime+before+endtime+during","I",99593,1,1,"1","2","full"
"AJZV2","golf","fall17","121","10","ends","E",12182,1,0,"1","2","full"
"AJZV2","golf","fall17","121","11","starttime","ML",16266,1,0,"1","2","full"
"AJZV2","golf","fall17","121","12","starts","G",10193,1,0,"1","2","full"
"AJZV2","golf","fall17","121","13","meets","EF",23436,1,0,"1","2","full"
"AJZV2","golf","fall17","121","14","endtime","X",9463,1,0,"1","2","full"
"AJZV2","golf","fall17","121","15","midpoint","KX",38165,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","1","starttime","F",24737,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","2","starts","K",40532,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","3","meets","F",28507,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","4","endtime","H",14136,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","5","midpoint","A",70592,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","6","duration","EG",9186,1,1,"1","2","full"
"3OTEP","hotel","fall17","121","7","duration+starts","XO",70219,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","8","duration+contained","G",31829,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","9","starttime+before+endtime+during","M",50519,0,0,"1","2","full"
"3OTEP","hotel","fall17","121","10","ends","E",10320,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","11","starttime","ML",9672,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","12","starts","G",7912,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","13","meets","EF",8649,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","14","endtime","X",4371,1,0,"1","2","full"
"3OTEP","hotel","fall17","121","15","midpoint","KX",18961,1,0,"1","2","full"
"QB8G8","hotel","fall17","121","1","starttime","O",39332,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","2","starts","JK",60112,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","3","meets","A",49764,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","4","endtime","D",11609,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","5","midpoint","A",25384,1,0,"1","2","full"
"QB8G8","hotel","fall17","121","6","duration","EG",6446,1,1,"1","2","full"
"QB8G8","hotel","fall17","121","7","duration+starts","FB",19918,0,1,"1","2","full"
"QB8G8","hotel","fall17","121","8","duration+contained","HZND",29999,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","9","starttime+before+endtime+during","I",18903,1,1,"1","2","full"
"QB8G8","hotel","fall17","121","10","ends","J",13850,0,0,"1","2","full"
"QB8G8","hotel","fall17","121","11","starttime","FB",15154,0,1,"1","2","full"
"QB8G8","hotel","fall17","121","12","starts","B",15512,0,1,"1","2","full"
"QB8G8","hotel","fall17","121","13","meets","FX",52981,0,1,"1","2","full"
"QB8G8","hotel","fall17","121","14","endtime","B",22328,0,1,"1","2","full"
"QB8G8","hotel","fall17","121","15","midpoint","GC",89436,0,0,"1","2","full"
"HH4FP","hotel","fall17","111","1","starttime","A",11080,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","2","starts","E",9763,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","3","meets","Z",44051,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","4","endtime","U",49074,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","5","midpoint","U",125414,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","6","duration","EG",6913,1,1,"1","1","full"
"HH4FP","hotel","fall17","111","7","duration+starts","FB",24445,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","8","duration+contained","E",24490,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","9","starttime+before+endtime+during","I",23622,1,1,"1","1","full"
"HH4FP","hotel","fall17","111","10","ends","X",47687,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","11","starttime","FB",9357,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","12","starts","B",5317,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","13","meets","FX",35015,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","14","endtime","B",19104,0,1,"1","1","full"
"HH4FP","hotel","fall17","111","15","midpoint","FB",25604,0,0,"1","1","full"
"7L4J4","hotel","fall17","111","1","starttime","A",43481,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","2","starts","E",21890,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","3","meets","Z",22080,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","4","endtime","U",50725,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","5","midpoint","B",161121,0,0,"1","1","full"
"7L4J4","hotel","fall17","111","6","duration","EG",9549,1,1,"1","1","full"
"7L4J4","hotel","fall17","111","7","duration+starts","FB",31043,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","8","duration+contained","E",58892,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","9","starttime+before+endtime+during","I",17545,1,1,"1","1","full"
"7L4J4","hotel","fall17","111","10","ends","X",23793,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","11","starttime","FB",15924,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","12","starts","B",11560,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","13","meets","FX",40456,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","14","endtime","B",9137,0,1,"1","1","full"
"7L4J4","hotel","fall17","111","15","midpoint","EF",82157,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","1","starttime","A",25980,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","2","starts","E",18318,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","3","meets","Z",25148,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","4","endtime","U",75325,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","5","midpoint","U",111684,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","6","duration","EG",6740,1,1,"1","1","full"
"B3OKB","hotel","fall17","111","7","duration+starts","FB",21583,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","8","duration+contained","E",55819,0,1,"1","1","full"
"B3OKB","hotel","fall17","111","9","starttime+before+endtime+during","I",102214,1,1,"1","1","full"
"B3OKB","hotel","fall17","111","10","ends","E",8881,1,0,"1","1","full"
"B3OKB","hotel","fall17","111","11","starttime","ML",11874,1,0,"1","1","full"
"B3OKB","hotel","fall17","111","12","starts","FG",5908,0,0,"1","1","full"
"B3OKB","hotel","fall17","111","13","meets","EF",40658,1,0,"1","1","full"
"B3OKB","hotel","fall17","111","14","endtime","X",6522,1,0,"1","1","full"
"B3OKB","hotel","fall17","111","15","midpoint","KX",34206,1,0,"1","1","full"
"ZZYXF","hotel","fall17","121","1","starttime","",49628,0,0,"1","2","full"
"ZZYXF","hotel","fall17","121","2","starts","J",18011,0,0,"1","2","full"
"ZZYXF","hotel","fall17","121","3","meets","",69713,0,0,"1","2","full"
"ZZYXF","hotel","fall17","121","4","endtime","",76604,0,0,"1","2","full"
"ZZYXF","hotel","fall17","121","5","midpoint","K",56271,0,0,"1","2","full"
"ZZYXF","hotel","fall17","121","6","duration","EG",9367,1,1,"1","2","full"
"ZZYXF","hotel","fall17","121","7","duration+starts","FB",52738,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","8","duration+contained","E",46892,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","9","starttime+before+endtime+during","I",26217,1,1,"1","2","full"
"ZZYXF","hotel","fall17","121","10","ends","X",54870,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","11","starttime","FB",9137,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","12","starts","B",12454,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","13","meets","FX",20746,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","14","endtime","B",18386,0,1,"1","2","full"
"ZZYXF","hotel","fall17","121","15","midpoint","EF",83137,0,1,"1","2","full"
"8V51R","hotel","fall17","111","1","starttime","A",23958,0,1,"1","1","full"
"8V51R","hotel","fall17","111","2","starts","E",36420,0,1,"1","1","full"
"8V51R","hotel","fall17","111","3","meets","Z",15497,0,1,"1","1","full"
"8V51R","hotel","fall17","111","4","endtime","U",58745,0,1,"1","1","full"
"8V51R","hotel","fall17","111","5","midpoint","U",91909,0,1,"1","1","full"
"8V51R","hotel","fall17","111","6","duration","EG",10689,1,1,"1","1","full"
"8V51R","hotel","fall17","111","7","duration+starts","FB",16185,0,1,"1","1","full"
"8V51R","hotel","fall17","111","8","duration+contained","E",39903,0,1,"1","1","full"
"8V51R","hotel","fall17","111","9","starttime+before+endtime+during","",42002,0,0,"1","1","full"
"8V51R","hotel","fall17","111","10","ends","IJ",21642,0,0,"1","1","full"
"8V51R","hotel","fall17","111","11","starttime","FB",12390,0,1,"1","1","full"
"8V51R","hotel","fall17","111","12","starts","B",10142,0,1,"1","1","full"
"8V51R","hotel","fall17","111","13","meets","FX",46198,0,1,"1","1","full"
"8V51R","hotel","fall17","111","14","endtime","B",45047,0,1,"1","1","full"
"8V51R","hotel","fall17","111","15","midpoint","EF",53057,0,1,"1","1","full"
"R0GKA","india","fall17","121","1","starttime","O",20244,0,0,"1","2","full"
"R0GKA","india","fall17","121","2","starts","K",69739,1,0,"1","2","full"
"R0GKA","india","fall17","121","3","meets","F",12685,1,0,"1","2","full"
"R0GKA","india","fall17","121","4","endtime","H",9503,1,0,"1","2","full"
"R0GKA","india","fall17","121","5","midpoint","A",87506,1,0,"1","2","full"
"R0GKA","india","fall17","121","6","duration","EG",10092,1,1,"1","2","full"
"R0GKA","india","fall17","121","7","duration+starts","XO",48191,1,0,"1","2","full"
"R0GKA","india","fall17","121","8","duration+contained","G",27659,1,0,"1","2","full"
"R0GKA","india","fall17","121","9","starttime+before+endtime+during","E",17331,0,0,"1","2","full"
"R0GKA","india","fall17","121","10","ends","E",9749,1,0,"1","2","full"
"R0GKA","india","fall17","121","11","starttime","ML",12349,1,0,"1","2","full"
"R0GKA","india","fall17","121","12","starts","G",8547,1,0,"1","2","full"
"R0GKA","india","fall17","121","13","meets","HN",12796,0,0,"1","2","full"
"R0GKA","india","fall17","121","14","endtime","X",22103,1,0,"1","2","full"
"R0GKA","india","fall17","121","15","midpoint","KX",13559,1,0,"1","2","full"
"1FO1D","india","fall17","121","1","starttime","",46119,0,0,"1","2","full"
"1FO1D","india","fall17","121","2","starts","",70336,0,0,"1","2","full"
"1FO1D","india","fall17","121","3","meets","",19317,0,0,"1","2","full"
"1FO1D","india","fall17","121","4","endtime","H",55361,1,0,"1","2","full"
"1FO1D","india","fall17","121","5","midpoint","",72965,0,0,"1","2","full"
"1FO1D","india","fall17","121","6","duration","EG",19466,1,1,"1","2","full"
"1FO1D","india","fall17","121","7","duration+starts","FB",23913,0,1,"1","2","full"
"1FO1D","india","fall17","121","8","duration+contained","IJ",33712,0,0,"1","2","full"
"1FO1D","india","fall17","121","9","starttime+before+endtime+during","I",13047,1,1,"1","2","full"
"1FO1D","india","fall17","121","10","ends","E",10806,1,0,"1","2","full"
"1FO1D","india","fall17","121","11","starttime","FB",7804,0,1,"1","2","full"
"1FO1D","india","fall17","121","12","starts","E",23353,0,0,"1","2","full"
"1FO1D","india","fall17","121","13","meets","EF",17918,1,0,"1","2","full"
